n_dimensions,n_clusters,mean_ent,n_neighbors,run_id
200,58,0.6113692546147667,5,751
200,59,0.6056127268653837,5,752
200,60,0.6051583372112385,5,753
200,61,0.5985320886770059,5,754
200,62,0.5976217709595002,5,755
200,63,0.5963215702047833,5,756
200,64,0.592468998875201,5,757
200,65,0.5927702509476875,5,758
200,66,0.591513703588243,5,759
200,67,0.5899507290659408,5,760
200,68,0.5858370222497965,5,761
200,69,0.5836259674523824,5,762
200,70,0.5844672383077049,5,763
200,71,0.5876773989034377,5,764
200,72,0.5813221026832842,5,765
200,73,0.5747162555546999,5,766
200,74,0.573238720670924,5,767
200,75,0.5748081860982247,5,768
200,76,0.5742087428905208,5,769
200,77,0.5750554085686951,5,770
200,78,0.5692969707806039,5,771
200,79,0.5688195448774814,5,772
200,80,0.568231711093346,5,773
200,81,0.5730141345136353,5,774
200,82,0.5707209025343869,5,775
200,83,0.5647083970675689,5,776
200,84,0.5578035229208931,5,777
200,85,0.559671241011707,5,778
200,86,0.561122566852076,5,779
200,87,0.5580032678505823,5,780
200,88,0.5558818605325121,5,781
200,89,0.5523570325552281,5,782
200,3,0.8619433370627595,10,783
200,4,0.8753677095808257,10,784
200,5,0.8271487042602326,10,785
200,6,0.7468181378149715,10,786
200,7,0.7833912667832499,10,787
200,8,0.783357516984504,10,788
200,9,0.7457202272890839,10,789
200,10,0.7474794118067313,10,790
200,11,0.7328564154441736,10,791
200,12,0.7341986079745899,10,792
200,13,0.7465364347177071,10,793
200,14,0.7549852157575146,10,794
200,15,0.7401876705964923,10,795
200,16,0.7402933354090433,10,796
200,17,0.7519164199386953,10,797
200,18,0.7513768179089841,10,798
200,19,0.7598597107429985,10,799
200,20,0.7566740977079968,10,800
200,21,0.7111281943575365,10,801
200,22,0.7069622386899559,10,802
200,23,0.6962418958087532,10,803
200,24,0.6866492629036033,10,804
200,25,0.6806322344794072,10,805
200,26,0.6818676464676159,10,806
200,27,0.6832839576487267,10,807
200,28,0.6793502458838742,10,808
200,29,0.6775670366997429,10,809
200,30,0.6694003543181279,10,810
200,31,0.6572745276692612,10,811
200,32,0.6468316013780425,10,812
200,33,0.6447518461944206,10,813
200,34,0.6393841139651925,10,814
200,35,0.6485137920979454,10,815
200,36,0.6323276799539372,10,816
